name,url


Arena,/arena
Jack,/arena#jack
Brad,/arena#brad
Astrid,/arena#astrid
Reginald,/arena#reginald
Nicola,/arena#nicola
Scales,/arena#scales


Codex,/codex
Scrapper Coast,/codex#scrapper-coast
Great Desert,/codex#great-desert
Fall Grove,/codex#fall-grove
Saltwater Swamp,/codex#saltwater-swamp
Parched Sea,/codex#parched-sea


Danger Zones,/danger-zones
Exterminator,/danger-zones#exterminator-squads
Frozen Wastes,/danger-zones#frozen-wastes
Molten Rock,/danger-zones#molten-rock
Vivid Valley,/danger-zones#vivid-valley
Scrapyard,/danger-zones#scrapyard
Bexley The Brave,/danger-zones#bexley-the-brave
Ember and Flake,/danger-zones#ember-and-flake
Larry,/danger-zones#larry
Mad Scientist,/danger-zones#mad-scientist
Mechanic,/danger-zones#mechanic
Merchant,/danger-zones#merchant
Trix,/danger-zones#trix
